field_name,semantic_path,label,group,page,pdf_x0,pdf_y0,pdf_x1,pdf_y1,top_left_x0,top_left_y0,top_left_x1,top_left_y1,font_size_pt,min_font_size_pt,alignment,multiline,max_length,required,format_hint,overflow_strategy
resource_02_name,report.resources[1].name,6. Resources Assigned row 2 - Name,resources_assigned,1,36.8,608.16,215.0,621.72,36.8,170.28,215.0,183.84,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_02_ics_position,report.resources[1].ics_position,6. Resources Assigned row 2 - ICS Position,resources_assigned,1,216.8,608.16,395.0,621.72,216.8,170.28,395.0,183.84,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_02_home_agency_unit,report.resources[1].home_agency_unit,6. Resources Assigned row 2 - Home Agency (and Unit),resources_assigned,1,396.8,608.16,575.0,621.72,396.8,170.28,575.0,183.84,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_03_name,report.resources[2].name,6. Resources Assigned row 3 - Name,resources_assigned,1,36.8,592.08,215.0,605.76,36.8,186.24,215.0,199.92,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_03_ics_position,report.resources[2].ics_position,6. Resources Assigned row 3 - ICS Position,resources_assigned,1,216.8,592.08,395.0,605.76,216.8,186.24,395.0,199.92,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_03_home_agency_unit,report.resources[2].home_agency_unit,6. Resources Assigned row 3 - Home Agency (and Unit),resources_assigned,1,396.8,592.08,575.0,605.76,396.8,186.24,575.0,199.92,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_04_name,report.resources[3].name,6. Resources Assigned row 4 - Name,resources_assigned,1,36.8,576.12,215.0,589.68,36.8,202.32,215.0,215.88,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_04_ics_position,report.resources[3].ics_position,6. Resources Assigned row 4 - ICS Position,resources_assigned,1,216.8,576.12,395.0,589.68,216.8,202.32,395.0,215.88,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_04_home_agency_unit,report.resources[3].home_agency_unit,6. Resources Assigned row 4 - Home Agency (and Unit),resources_assigned,1,396.8,576.12,575.0,589.68,396.8,202.32,575.0,215.88,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_05_name,report.resources[4].name,6. Resources Assigned row 5 - Name,resources_assigned,1,36.8,560.16,215.0,573.72,36.8,218.28,215.0,231.84,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_05_ics_position,report.resources[4].ics_position,6. Resources Assigned row 5 - ICS Position,resources_assigned,1,216.8,560.16,395.0,573.72,216.8,218.28,395.0,231.84,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_05_home_agency_unit,report.resources[4].home_agency_unit,6. Resources Assigned row 5 - Home Agency (and Unit),resources_assigned,1,396.8,560.16,575.0,573.72,396.8,218.28,575.0,231.84,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_06_name,report.resources[5].name,6. Resources Assigned row 6 - Name,resources_assigned,1,36.8,544.08,215.0,557.76,36.8,234.24,215.0,247.92,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_06_ics_position,report.resources[5].ics_position,6. Resources Assigned row 6 - ICS Position,resources_assigned,1,216.8,544.08,395.0,557.76,216.8,234.24,395.0,247.92,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_06_home_agency_unit,report.resources[5].home_agency_unit,6. Resources Assigned row 6 - Home Agency (and Unit),resources_assigned,1,396.8,544.08,575.0,557.76,396.8,234.24,575.0,247.92,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_07_name,report.resources[6].name,6. Resources Assigned row 7 - Name,resources_assigned,1,36.8,528.12,215.0,541.68,36.8,250.32,215.0,263.88,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_07_ics_position,report.resources[6].ics_position,6. Resources Assigned row 7 - ICS Position,resources_assigned,1,216.8,528.12,395.0,541.68,216.8,250.32,395.0,263.88,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_07_home_agency_unit,report.resources[6].home_agency_unit,6. Resources Assigned row 7 - Home Agency (and Unit),resources_assigned,1,396.8,528.12,575.0,541.68,396.8,250.32,575.0,263.88,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_08_name,report.resources[7].name,6. Resources Assigned row 8 - Name,resources_assigned,1,36.8,511.68,215.0,525.72,36.8,266.28,215.0,280.32,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_08_ics_position,report.resources[7].ics_position,6. Resources Assigned row 8 - ICS Position,resources_assigned,1,216.8,511.68,395.0,525.72,216.8,266.28,395.0,280.32,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_08_home_agency_unit,report.resources[7].home_agency_unit,6. Resources Assigned row 8 - Home Agency (and Unit),resources_assigned,1,396.8,511.68,575.0,525.72,396.8,266.28,575.0,280.32,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
activity_01_date_time,report.activities[0].date_time,7. Activity Log row 1 - Date/Time,activity_log,1,36.8,462.88,129.7,476.96,36.8,315.04,129.7,329.12,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_01_notable_activities,report.activities[0].notable_activities,7. Activity Log row 1 - Notable Activities,activity_log,1,131.4,462.88,575.0,476.96,131.4,315.04,575.0,329.12,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_02_date_time,report.activities[1].date_time,7. Activity Log row 2 - Date/Time,activity_log,1,36.8,446.92,129.7,460.88,36.8,331.12,129.7,345.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_02_notable_activities,report.activities[1].notable_activities,7. Activity Log row 2 - Notable Activities,activity_log,1,131.4,446.92,575.0,460.88,131.4,331.12,575.0,345.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_03_date_time,report.activities[2].date_time,7. Activity Log row 3 - Date/Time,activity_log,1,36.8,430.96,129.7,444.92,36.8,347.08,129.7,361.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_03_notable_activities,report.activities[2].notable_activities,7. Activity Log row 3 - Notable Activities,activity_log,1,131.4,430.96,575.0,444.92,131.4,347.08,575.0,361.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_04_date_time,report.activities[3].date_time,7. Activity Log row 4 - Date/Time,activity_log,1,36.8,414.88,129.7,428.96,36.8,363.04,129.7,377.12,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_04_notable_activities,report.activities[3].notable_activities,7. Activity Log row 4 - Notable Activities,activity_log,1,131.4,414.88,575.0,428.96,131.4,363.04,575.0,377.12,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_05_date_time,report.activities[4].date_time,7. Activity Log row 5 - Date/Time,activity_log,1,36.8,398.92,129.7,412.88,36.8,379.12,129.7,393.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_05_notable_activities,report.activities[4].notable_activities,7. Activity Log row 5 - Notable Activities,activity_log,1,131.4,398.92,575.0,412.88,131.4,379.12,575.0,393.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_06_date_time,report.activities[5].date_time,7. Activity Log row 6 - Date/Time,activity_log,1,36.8,382.96,129.7,396.92,36.8,395.08,129.7,409.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_06_notable_activities,report.activities[5].notable_activities,7. Activity Log row 6 - Notable Activities,activity_log,1,131.4,382.96,575.0,396.92,131.4,395.08,575.0,409.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_07_date_time,report.activities[6].date_time,7. Activity Log row 7 - Date/Time,activity_log,1,36.8,366.88,129.7,380.96,36.8,411.04,129.7,425.12,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_07_notable_activities,report.activities[6].notable_activities,7. Activity Log row 7 - Notable Activities,activity_log,1,131.4,366.88,575.0,380.96,131.4,411.04,575.0,425.12,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_08_date_time,report.activities[7].date_time,7. Activity Log row 8 - Date/Time,activity_log,1,36.8,350.92,129.7,364.88,36.8,427.12,129.7,441.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_08_notable_activities,report.activities[7].notable_activities,7. Activity Log row 8 - Notable Activities,activity_log,1,131.4,350.92,575.0,364.88,131.4,427.12,575.0,441.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_09_date_time,report.activities[8].date_time,7. Activity Log row 9 - Date/Time,activity_log,1,36.8,334.96,129.7,348.92,36.8,443.08,129.7,457.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_09_notable_activities,report.activities[8].notable_activities,7. Activity Log row 9 - Notable Activities,activity_log,1,131.4,334.96,575.0,348.92,131.4,443.08,575.0,457.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_10_date_time,report.activities[9].date_time,7. Activity Log row 10 - Date/Time,activity_log,1,36.8,318.88,129.7,332.96,36.8,459.04,129.7,473.12,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_10_notable_activities,report.activities[9].notable_activities,7. Activity Log row 10 - Notable Activities,activity_log,1,131.4,318.88,575.0,332.96,131.4,459.04,575.0,473.12,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_11_date_time,report.activities[10].date_time,7. Activity Log row 11 - Date/Time,activity_log,1,36.8,302.92,129.7,316.88,36.8,475.12,129.7,489.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_11_notable_activities,report.activities[10].notable_activities,7. Activity Log row 11 - Notable Activities,activity_log,1,131.4,302.92,575.0,316.88,131.4,475.12,575.0,489.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_12_date_time,report.activities[11].date_time,7. Activity Log row 12 - Date/Time,activity_log,1,36.8,286.96,129.7,300.92,36.8,491.08,129.7,505.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_12_notable_activities,report.activities[11].notable_activities,7. Activity Log row 12 - Notable Activities,activity_log,1,131.4,286.96,575.0,300.92,131.4,491.08,575.0,505.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_13_date_time,report.activities[12].date_time,7. Activity Log row 13 - Date/Time,activity_log,1,36.8,270.88,129.7,284.96,36.8,507.04,129.7,521.12,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_13_notable_activities,report.activities[12].notable_activities,7. Activity Log row 13 - Notable Activities,activity_log,1,131.4,270.88,575.0,284.96,131.4,507.04,575.0,521.12,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_14_date_time,report.activities[13].date_time,7. Activity Log row 14 - Date/Time,activity_log,1,36.8,254.92,129.7,268.88,36.8,523.12,129.7,537.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_14_notable_activities,report.activities[13].notable_activities,7. Activity Log row 14 - Notable Activities,activity_log,1,131.4,254.92,575.0,268.88,131.4,523.12,575.0,537.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_15_date_time,report.activities[14].date_time,7. Activity Log row 15 - Date/Time,activity_log,1,36.8,238.96,129.7,252.92,36.8,539.08,129.7,553.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_15_notable_activities,report.activities[14].notable_activities,7. Activity Log row 15 - Notable Activities,activity_log,1,131.4,238.96,575.0,252.92,131.4,539.08,575.0,553.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_16_date_time,report.activities[15].date_time,7. Activity Log row 16 - Date/Time,activity_log,1,36.8,223.0,129.7,236.96,36.8,555.04,129.7,569.0,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_16_notable_activities,report.activities[15].notable_activities,7. Activity Log row 16 - Notable Activities,activity_log,1,131.4,223.0,575.0,236.96,131.4,555.04,575.0,569.0,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_17_date_time,report.activities[16].date_time,7. Activity Log row 17 - Date/Time,activity_log,1,36.8,206.92,129.7,221.0,36.8,571.0,129.7,585.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_17_notable_activities,report.activities[16].notable_activities,7. Activity Log row 17 - Notable Activities,activity_log,1,131.4,206.92,575.0,221.0,131.4,571.0,575.0,585.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_18_date_time,report.activities[17].date_time,7. Activity Log row 18 - Date/Time,activity_log,1,36.8,190.96,129.7,204.92,36.8,587.08,129.7,601.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_18_notable_activities,report.activities[17].notable_activities,7. Activity Log row 18 - Notable Activities,activity_log,1,131.4,190.96,575.0,204.92,131.4,587.08,575.0,601.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_19_date_time,report.activities[18].date_time,7. Activity Log row 19 - Date/Time,activity_log,1,36.8,175.0,129.7,188.96,36.8,603.04,129.7,617.0,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_19_notable_activities,report.activities[18].notable_activities,7. Activity Log row 19 - Notable Activities,activity_log,1,131.4,175.0,575.0,188.96,131.4,603.04,575.0,617.0,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_20_date_time,report.activities[19].date_time,7. Activity Log row 20 - Date/Time,activity_log,1,36.8,158.92,129.7,173.0,36.8,619.0,129.7,633.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_20_notable_activities,report.activities[19].notable_activities,7. Activity Log row 20 - Notable Activities,activity_log,1,131.4,158.92,575.0,173.0,131.4,619.0,575.0,633.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_21_date_time,report.activities[20].date_time,7. Activity Log row 21 - Date/Time,activity_log,1,36.8,142.96,129.7,156.92,36.8,635.08,129.7,649.04,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_21_notable_activities,report.activities[20].notable_activities,7. Activity Log row 21 - Notable Activities,activity_log,1,131.4,142.96,575.0,156.92,131.4,635.08,575.0,649.04,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_22_date_time,report.activities[21].date_time,7. Activity Log row 22 - Date/Time,activity_log,1,36.8,127.0,129.7,140.96,36.8,651.04,129.7,665.0,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_22_notable_activities,report.activities[21].notable_activities,7. Activity Log row 22 - Notable Activities,activity_log,1,131.4,127.0,575.0,140.96,131.4,651.04,575.0,665.0,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_23_date_time,report.activities[22].date_time,7. Activity Log row 23 - Date/Time,activity_log,1,36.8,110.92,129.7,125.0,36.8,667.0,129.7,681.08,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_23_notable_activities,report.activities[22].notable_activities,7. Activity Log row 23 - Notable Activities,activity_log,1,131.4,110.92,575.0,125.0,131.4,667.0,575.0,681.08,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
activity_24_date_time,report.activities[23].date_time,7. Activity Log row 24 - Date/Time,activity_log,1,36.8,94.48,129.7,108.92,36.8,683.08,129.7,697.52,6.6,5.2,center,False,24,False,"MM/DD/YYYY HHMM, or approved agency format",shrink_to_5.2pt_then_reject
activity_24_notable_activities,report.activities[23].notable_activities,7. Activity Log row 24 - Notable Activities,activity_log,1,131.4,94.48,575.0,108.92,131.4,683.08,575.0,697.52,6.6,5.0,left,True,420,False,,fit_within_row_or_move_full_entry_to_continuation_page
prepared_by_name,report.prepared_by.name,8. Prepared by - Name,prepared_by,1,154.3,79.0,252.0,92.5,154.3,699.5,252.0,713.0,7.4,5.5,left,False,100,True,,shrink_to_min_then_reject
prepared_by_position_title,report.prepared_by.position_title,8. Prepared by - Position/Title,prepared_by,1,322.1,79.0,410.0,92.5,322.1,699.5,410.0,713.0,7.2,5.5,left,False,100,True,,shrink_to_min_then_reject
prepared_by_signature,report.prepared_by.signature_text,8. Prepared by - Signature,prepared_by,1,469.6,79.0,570.4,92.5,469.6,699.5,570.4,713.0,7.2,5.5,left,False,120,False,,shrink_to_min_then_reject
prepared_by_date_time,report.prepared_by.date_time,8. Prepared by - Date/Time,prepared_by,1,312.3,61.0,570.4,72.9,312.3,719.1,570.4,731.0,7.2,5.5,left,False,32,True,MM/DD/YYYY HHMM,shrink_to_min_then_reject
